"country"	"YEAR"	"source"	"AGE"	"unionORchildren"	"unionANDchildren"	"perc_simult"
"South Africa"	"2001"	"3"	"15"	"1121.379629"	"64.699699691"	"0.0576965178"
"South Africa"	"2001"	"3"	"16"	"2211.9522945"	"77.014496029"	"0.0348174308"
"South Africa"	"2001"	"3"	"17"	"3377.8659153"	"148.46078674"	"0.0439510598"
"South Africa"	"2001"	"3"	"18"	"4706.2328209"	"240.34824129"	"0.0510701978"
"South Africa"	"2001"	"3"	"19"	"5324.1147033"	"341.64530539"	"0.0641694111"
"South Africa"	"2001"	"3"	"20"	"5042.7942574"	"369.79840446"	"0.0733320428"
"South Africa"	"2001"	"3"	"21"	"4854.2383979"	"473.77845973"	"0.0976009872"
"South Africa"	"2001"	"3"	"22"	"3978.833469"	"487.10437092"	"0.1224239151"
"South Africa"	"2001"	"3"	"23"	"3275.9388809"	"493.06620367"	"0.1505114172"
"South Africa"	"2001"	"3"	"24"	"3101.2956288"	"619.71603641"	"0.1998248831"
