"country"	"YEAR"	"AGE"	"SEX"	"SCHOOL"	"prop_union2"	"prop_child2"	"round"	"childless2"
"Benin"	"2006"	"21"	"Female"	"1"	"0.0337437521"	"0.0779092768"	"2000"	"0.9220907232"
"Benin"	"2006"	"22"	"Male"	"0"	"0.3026696694"	"."	"2000"	"."
"Benin"	"2006"	"22"	"Male"	"1"	"0.026154959"	"."	"2000"	"."
"Benin"	"2006"	"22"	"Female"	"0"	"0.7946088229"	"0.7760697219"	"2000"	"0.2239302781"
"Benin"	"2006"	"22"	"Female"	"1"	"0.068668581"	"0.0978484028"	"2000"	"0.9021515972"
"Benin"	"2006"	"23"	"Male"	"0"	"0.3535353425"	"."	"2000"	"."
"Benin"	"2006"	"23"	"Male"	"1"	"0.0597220557"	"."	"2000"	"."
"Benin"	"2006"	"23"	"Female"	"0"	"0.8050742033"	"0.7958501955"	"2000"	"0.2041498045"
"Benin"	"2006"	"23"	"Female"	"1"	"0.1907255723"	"0.2702409047"	"2000"	"0.7297590953"
"Benin"	"2006"	"24"	"Male"	"0"	"0.4545915449"	"."	"2000"	"."
"Benin"	"2006"	"24"	"Male"	"1"	"0.0350663319"	"."	"2000"	"."
"Benin"	"2006"	"24"	"Female"	"0"	"0.8316417703"	"0.8315225079"	"2000"	"0.1684774921"
"Benin"	"2006"	"24"	"Female"	"1"	"0.0971560893"	"0.1061341995"	"2000"	"0.8938658005"
"Bolivia"	"2001"	"12"	"Male"	"0"	"0.0067934783"	"."	"2000"	"."
"Bolivia"	"2001"	"12"	"Male"	"1"	"0.0020726411"	"."	"2000"	"."
"Bolivia"	"2001"	"12"	"Female"	"0"	"0.0181623932"	"."	"2000"	"."
"Bolivia"	"2001"	"12"	"Female"	"1"	"0.0020314338"	"."	"2000"	"."
"Bolivia"	"2001"	"13"	"Male"	"0"	"0.0031578947"	"."	"2000"	"."
"Bolivia"	"2001"	"13"	"Male"	"1"	"0.0024792498"	"."	"2000"	"."
"Bolivia"	"2001"	"13"	"Female"	"0"	"0.0093312597"	"."	"2000"	"."
"Bolivia"	"2001"	"13"	"Female"	"1"	"0.0018152939"	"."	"2000"	"."
"Bolivia"	"2001"	"14"	"Male"	"0"	"0.0049469965"	"."	"2000"	"."
"Bolivia"	"2001"	"14"	"Male"	"1"	"0.0028080028"	"."	"2000"	"."
"Bolivia"	"2001"	"14"	"Female"	"0"	"0.0113821138"	"."	"2000"	"."
"Bolivia"	"2001"	"14"	"Female"	"1"	"0.0017415101"	"."	"2000"	"."
"Bolivia"	"2001"	"15"	"Male"	"0"	"0.0263591433"	"."	"2000"	"."
"Bolivia"	"2001"	"15"	"Male"	"1"	"0.0072492421"	"."	"2000"	"."
"Bolivia"	"2001"	"15"	"Female"	"0"	"0.1015730337"	"0.1260997067"	"2000"	"0.8739002933"
"Bolivia"	"2001"	"15"	"Female"	"1"	"0.0091652566"	"0.0070776256"	"2000"	"0.9929223744"
"Bolivia"	"2001"	"16"	"Male"	"0"	"0.0298642534"	"."	"2000"	"."
"Bolivia"	"2001"	"16"	"Male"	"1"	"0.0080583853"	"."	"2000"	"."
"Bolivia"	"2001"	"16"	"Female"	"0"	"0.1711210097"	"0.2165333333"	"2000"	"0.7834666667"
"Bolivia"	"2001"	"16"	"Female"	"1"	"0.0158415842"	"0.0197384067"	"2000"	"0.9802615933"
"Bolivia"	"2001"	"17"	"Male"	"0"	"0.0493259804"	"."	"2000"	"."
"Bolivia"	"2001"	"17"	"Male"	"1"	"0.0114046759"	"."	"2000"	"."
"Bolivia"	"2001"	"17"	"Female"	"0"	"0.2425673798"	"0.3095238095"	"2000"	"0.6904761905"
"Bolivia"	"2001"	"17"	"Female"	"1"	"0.0366743071"	"0.0481099656"	"2000"	"0.9518900344"
"Bolivia"	"2001"	"18"	"Male"	"0"	"0.0757800892"	"."	"2000"	"."
"Bolivia"	"2001"	"18"	"Male"	"1"	"0.0279057166"	"."	"2000"	"."
"Bolivia"	"2001"	"18"	"Female"	"0"	"0.261089766"	"0.3412541254"	"2000"	"0.6587458746"
"Bolivia"	"2001"	"18"	"Female"	"1"	"0.0827118644"	"0.1257512714"	"2000"	"0.8742487286"
"Bolivia"	"2001"	"19"	"Male"	"0"	"0.1116908528"	"."	"2000"	"."
"Bolivia"	"2001"	"19"	"Male"	"1"	"0.0618925831"	"."	"2000"	"."
"Bolivia"	"2001"	"19"	"Female"	"0"	"0.2979666718"	"0.3926701571"	"2000"	"0.6073298429"
"Bolivia"	"2001"	"19"	"Female"	"1"	"0.1480536056"	"0.2391681109"	"2000"	"0.7608318891"
